id wisata ,TEMPAT WISATA,JENIS WISATA,HTM,FASILITAS,KEAMANAN,AKSES JALAN,TRANSPORTASI
1,Kawah Ijen,Alam,"Rp30.000,00","Ruang kesehatan di kaki Gunung Ijen, Penginapan mulai dari homestay hingga hotel bintang lima, Mushala, Tempat parkir, Camping ground, Warung-warung yang menjual makanan di Paltuding, Tempat penyewaan peralatan untuk mendaki, Toilet, Tour guide, Taksi lokal / Troli","Pos Penjaga, Pemandu","Aspal, Mudah Diakses","Kendaraan Pribadi, Ojek"
2,TNBTS Baluran,Alam,"Rp16.000,00","Pusat Informasi dan Pos Jaga, Penginapan dan Area Camping, Toilet, Mushala, warung",Aman dengan pemandu,"Aspal, Mudah Diakses","Kendaraan Pribadi, Ojek"
3,Djawatan,Alam,"Rp6.000,00","Kamar mandi, Musala atau masjid, Tempat makan atau cafe, Spot foto menarik, Tempat parkir yang luas, Lapangan bola, tenis, voli, dan karate, Minimarket, warung kopi, dan kantin, Sungai untuk memancing dan arum jeram, Area camping, Wahana permainan","Pos Penjaga, Pemandu","Aspal, Mudah Diakses","Kendaraan Umum, Ojek"
4,Taman Blambangan,Theme Park,Free,"Lapangan olahraga, Trek jogging sepanjang 430 meter, Arena bermain anak, Pentas seni, Tempat duduk untuk bersantai, Panggung hiburan berbentuk gapura candi, Gelanggang Seni dan Budaya (Gesibu Blambangan), Pusat informasi, Klinik, Toko oleh-oleh",Aman,"Aspal, Mudah Diakses","Kendaraan Umum, Ojek"
5,Panorama Pantai Cacalan,Alam,"Rp7.500,00","Area Gazebo dan Tempat Duduk, Spot Foto Instagramable, Toilet dan Kamar Mandi, Warung Makan dan Kafe, Area Parkir, Penyewaan Peralatan Air",Aman,Mudah Diakses,"Kendaraan Pribadi, Ojek"
6,Taman Sritanjung,Theme Park,Free,"jogging track, batu refleksi, petugas kebersihan, air mancur, Kios PKL dan amphitheatre mini untuk pertunjukan seni.",Aman,"Aspal, Mudah Diakses",Kendaraan Umum
7,TN Alas Purwo,Alam,"Rp15.000,00","Pemandu penjaga hutan atau jagawana, Sewa mobil atau motor, Wisma tamu di pos Rawa Bendo, Papan, penunjuk jalan, Warung makan, Cottage di pantai Plengkung atau G-land, Toilet, Pusat Informasi",Aman,"Aspal, Mudah Diakses","Kendaraan Umum, Ojek"
8,Pantai Boom,Alam,"Rp5.000,00","Amfiteater, Fasilitas Toilet dan Tempat Ganti, Tempat Parkir Luas, Warung dan Pusat Kuliner, Glamping, Private resort","Pos Penjaga, Pemandu","Aspal, Mudah Diakses","Kendaraan Pribadi, Transportasi Umum, Transportasi Online"
9,Watu Dodol,Alam,"Rp5.000,00","Kolam renang luar ruangan, Restoran, Sarapan dalam kamar, Wi-Fi, Layanan dry cleaning, Layanan cuci pakaian, Kamar dengan pemandangan laut, Area parkir yang luas, Gazebo-gazebo untuk bersantai, Warung-warung yang menjual makanan dan minuman",Aman,"Aspal, Mudah Diakses",Kendaraan Umum
10,Pantai Brangsring,Alam,"Rp5.000,00","Gazebo, Warung kecil, Toilet",Aman,Mudah Diakses,"Kendaraan Umum, ojek"
11,Pulau Merah,Alam,"Rp10.000,00","Area Parkir, Toilet, Mushola, Warung Makan dan Kios, Penyewaan Peralatan Surfing dan Snorkeling, Penginapan dan Homestay",Terdapat petugas keamanan dan penjaga pantai,"Aspal, Mudah Diakses dan petunjuk arah jelas",Kendaraan Pribadi dan Transportasi umum
12,Pulau Tabuhan,Alam,"Rp15.000,00","Snorkeling, Spot Foto Instagramable, Camping, Gazebo.",Aman dengan Pemandu,Mudah Diakses,Perahu Sewaan
13,Teluk Hijau,Alam,"Rp5.000,00","Tempat parkir, Tempat untuk istirahat, Boat, Perahu, Tempat untuk makan, Tempat yang bisa digunakan untuk camping",Aman,Mudah Diakses,Kendaraan Pribadi
14,Bangsring Underwater,Theme Park,"Rp5.000,00","Snorkling, Rumah Apung, Toilet, Diving",Aman,"Aspal, Mudah Diakses","Kendaraan Umum, Ojek"
15,Nasi Tempong Mbok Nah,Kuliner,Free,Nasi Tempong,Aman,"Aspal, Mudah Diakses","Kendaraan Pribadi, Transportasi Umum, Transportasi Online"
16,Sego Tempong Mbok Wah,Kuliner,Free,Nasi Tempong,Aman,"Aspal, Mudah Diakses","Kendaraan Pribadi, Transportasi Umum, Transportasi Online"
17,Srengenge Wetan,Kuliner,Free,"Pecel pithik, Sate lilit, Rujak soto",Aman,"Aspal, Mudah Diakses","Kendaraan Pribadi, Transportasi Umum, Transportasi Online"
18,Makam Datuk Malik Ibrahim,Religi,Free,"Area Parkir, Toilet, Mushola, Ruang Ziarah Khusus, Area Makam Kerabat dan Sahabat, Pohon Kamboja (Area makam dihiasi dengan pohon kamboja yang rindang, menciptakan suasana teduh)",Aman,"Aspal, dapat dilalui oleh kendaraan roda dua maupun roda empat","Kendaraan Pribadi, Transportasi Umum, Transportasi Online"
19,Tempat Ibadah Hoo Tong Bio,Religi,Free,"Area meditasi, Tempat pembakaran dupa/hio, Ruang pertemuan, Altar-altar dewa dan Toilet umum","Penjagaan oleh pengurus, CCTV dan Pagar keliling area kelenteng","Aspal, mudah dijangkau dan ada penunjuk arah","Kendaraan Pribadi, Transportasi Umum dan Transportasi Online"
20,Osing Deles Pusat Oleh-Oleh,Belanja,Free,"Tempat parkir, Toilet umum, Area tunggu/istirahat, Kasir dan layanan pengemasan, Wifi gratis, dan Area display produk yang luas","Petugas keamanan, CCTV di area toko, dan Sistem alarm keamanan","Jalan beraspal, Penunjuk arah yang jelas, dan Lokasi strategis di pinggir jalan utama","Kendaraan Pribadi, Transportasi Umum dan Transportasi Online"
21,Banyuwangi Park,Theme Park,"Rp. 50.000,00","Area Parkir Luas, Toilet Bersih, Mushola, Ruang Ganti, Food Court, Wahana Bermain, Mini Zoo, Taman Lalu Lintas, Science Center",Petugas keamanan,"Jalan Aspal, mudah diakses, kendaraan roda dua maupun roda empat","Kendaraan Pribadi, Transportasi Umum, Transportasi Online"
22,Taman Sayu Wiwit Park,Theme Park,Free,"Area Parkir, Toilet, Mushola, Area Bermain Anak, Jalur Jogging dan Olahraga, Perpustakaan Mini, Ruang Pertemuan dan Pameran, Wi-Fi Gratis, Penerangan Malam Hari",Petugas keamanan,Jalan Utama beraspal,"Kendaraan Pribadi, Transportasi Umum, Transportasi Online"
23,Air Terjun Kembar Arum,Alam,"Rp. 5.000,00","Area Parkir, Toilet, Warung Makan, Gazebo dan Tempat Istirahat, Kolam Alami",Aman bagi pengunjung,"Jalan menuju area parkir beraspal, Jalur pejalan kaki cenderung sempit dan berbatu","Kendaraan Pribadi, Transportasi Umum, Transportasi Online"
